time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-20T09:06:23.960Z,38.8441658,-122.8253326,1.71,0.69,md,7,130,0.00969,0.01,nc,nc72765846,2017-02-20T09:42:02.483Z,"9km WNW of Cobb, California",earthquake,0.65,0.9,0.28,2,automatic,nc,nc
2017-02-20T09:00:47.300Z,38.8463326,-122.7913361,2.15,1.08,md,6,175,0.02609,0.08,nc,nc72765841,2017-02-20T09:31:02.463Z,"6km WNW of Cobb, California",earthquake,0.76,2.6,0.04,2,automatic,nc,nc
2017-02-20T08:51:59.390Z,38.8373337,-122.8300018,1.57,0.33,md,6,124,0.004463,0.01,nc,nc72765836,2017-02-20T09:19:01.422Z,"9km W of Cobb, California",earthquake,0.61,0.77,0.03,2,automatic,nc,nc
2017-02-20T08:51:15.950Z,37.6161652,-122.4641647,6.62,1.55,md,11,112,0.02263,0.04,nc,nc72765831,2017-02-20T09:08:02.417Z,"2km E of Pacifica, California",earthquake,0.38,0.48,0.1,6,automatic,nc,nc
2017-02-20T08:47:46.800Z,37.4393349,-118.8560028,1.22,2.32,md,30,140,0.1519,0.04,nc,nc72765826,2017-02-20T16:50:22.585Z,"25km SSE of Mammoth Lakes, California",earthquake,0.25,1.48,0.23,27,automatic,nc,nc
2017-02-20T08:40:57.131Z,36.6964,-116.3179,8.6,-0.1,ml,13,76.4,0.054,0.1451,nn,nn00579263,2017-02-20T18:41:44.831Z,"45km ESE of Beatty, Nevada",earthquake,,1.7,0.33,4,reviewed,nn,nn
2017-02-20T08:35:06.070Z,38.8440018,-122.8266678,1.83,0.28,md,6,191,0.008755,0.01,nc,nc72765821,2017-02-20T08:51:03.368Z,"9km WNW of Cobb, California",earthquake,0.56,0.96,,1,automatic,nc,nc
2017-02-20T08:27:31.850Z,33.9153333,-118.9716667,0.85,2.17,ml,27,140,0.1633,0.3,ci,ci37586303,2017-02-20T08:31:22.927Z,"18km WSW of Malibu, CA",earthquake,0.63,31.61,0.147,28,automatic,ci,ci
2017-02-20T08:13:04.825Z,59.7297,-152.3284,88.5,1.7,ml,,,,0.38,ak,ak15313890,2017-02-20T08:22:21.468Z,"28km W of Anchor Point, Alaska",earthquake,,1.7,,,automatic,ak,ak
2017-02-20T08:12:28.713Z,65.3567,-144.7451,0.4,1.4,ml,,,,0.86,ak,ak15313894,2017-02-20T08:22:21.727Z,"12km SSW of Circle Hot Springs Station, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-20T08:07:02.660Z,33.5071667,-116.7925,4.71,0.43,ml,18,73,0.07416,0.09,ci,ci37586287,2017-02-20T08:10:29.392Z,"10km NE of Aguanga, CA",earthquake,0.19,0.41,0.044,12,automatic,ci,ci
2017-02-20T07:53:06.260Z,-37.595,178.8068,32.16,4.9,mb,,255,0.398,0.91,us,us20008kvk,2017-02-20T15:55:44.948Z,"136km NNE of Gisborne, New Zealand",earthquake,11.3,8.9,0.11,26,reviewed,us,us
2017-02-20T07:51:27.170Z,38.8025017,-122.7683334,0.38,0.53,md,7,127,0.01791,0.01,nc,nc72765796,2017-02-20T08:07:03.303Z,"2km NNW of The Geysers, California",earthquake,0.59,1.8,0.04,2,automatic,nc,nc
2017-02-20T07:45:10.150Z,-5.2197,-74.9708,10,5.4,mb,,84,3.359,1.3,us,us20008kvi,2017-02-20T08:04:42.318Z,"78km E of Lagunas, Peru",earthquake,6.1,1.7,0.023,638,reviewed,us,us
2017-02-20T07:22:46.570Z,34.2893333,-117.7118333,25.56,1.33,ml,8,92,0.06698,0.17,ci,ci37586263,2017-02-20T07:26:28.514Z,"11km SW of Wrightwood, CA",earthquake,0.92,1.87,0.467,22,automatic,ci,ci
2017-02-20T07:21:00.993Z,37.8461,-116.1842,0.3,0.8,ml,11,117.02,0.4,0.0703,nn,nn00579225,2017-02-20T17:57:51.363Z,"41km SSE of Warm Springs, Nevada",earthquake,,1.7,0.29,5,reviewed,nn,nn
2017-02-20T07:18:09.320Z,47.8723333,-114.2878333,2.82,3.37,ml,24,77,0.126,0.2,mb,mb80199834,2017-02-20T21:23:08.193Z,"17km SSW of Lakeside, Montana",earthquake,0.39,0.79,0.277,23,reviewed,mb,mb
2017-02-20T07:12:36.200Z,18.2306,-67.4186,29,3,Md,17,212.4,0.16349338,0.31,pr,pr17051004,2017-02-20T08:51:58.290Z,"20km WSW of Stella, Puerto Rico",earthquake,1.2,1.9,0,16,reviewed,pr,pr
2017-02-20T07:05:32.260Z,19.5594997,-155.9584961,14.75,1.83,md,9,238,0.06962,0.14,hv,hv61613621,2017-02-20T07:08:34.490Z,"1km SSE of Kahaluu-Keauhou, Hawaii",earthquake,0.97,0.4,0.05,5,automatic,hv,hv
2017-02-20T06:50:49.155Z,38.3967,-118.8985,10.5,1.3,ml,10,108.9,0.342,0.1618,nn,nn00579258,2017-02-20T18:22:53.125Z,"27km WSW of Hawthorne, Nevada",earthquake,,7,0.27,2,reviewed,nn,nn
2017-02-20T06:46:09.850Z,37.6609993,-118.8971634,-0.21,1.58,md,8,146,0.04996,0.37,nc,nc72765781,2017-02-20T07:38:02.210Z,"6km ENE of Mammoth Lakes, California",earthquake,2.04,16.24,0.21,7,automatic,nc,nc
2017-02-20T06:21:31.139Z,38.0431,-118.8183,5.6,1.2,ml,9,182.21,0.036,0.1569,nn,nn00579222,2017-02-20T17:45:25.368Z,"43km ESE of Bridgeport, California",earthquake,,2.7,0.29,2,reviewed,nn,nn
2017-02-20T06:20:03.156Z,63.5467,-150.7982,0.2,1.2,ml,,,,0.3,ak,ak15313219,2017-02-20T06:37:20.800Z,"93km WNW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T06:10:36.880Z,2.3783,95.2852,25.5,5,mb,,150,2.525,0.5,us,us20008kva,2017-02-20T06:25:41.040Z,"122km W of Sinabang, Indonesia",earthquake,6.3,5.8,0.092,38,reviewed,us,us
2017-02-20T06:10:03.309Z,56.3693,-156.5844,0,2.5,ml,,,,0.68,ak,ak15313217,2017-02-20T06:15:14.969Z,"85km NW of Chirikof Island, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-02-20T06:06:16.120Z,36.392,-89.5908333,11.42,1.27,md,16,55,0.01267,0.02,nm,nm60176536,2017-02-20T14:35:13.900Z,"10km W of Tiptonville, Tennessee",earthquake,0.49,0.59,0.06,8,reviewed,nm,nm
2017-02-20T06:00:57.890Z,35.0866667,-116.9953333,2.96,1.97,ml,22,68,0.2109,0.18,ci,ci37586239,2017-02-20T06:11:16.950Z,"21km N of Barstow, CA",earthquake,0.28,1.5,0.174,26,automatic,ci,ci
2017-02-20T05:55:52.970Z,59.9216,-139.6426,8.2,1.5,ml,,,,1.02,ak,ak15313214,2017-02-20T06:10:27.307Z,"42km N of Yakutat, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-02-20T05:32:45.430Z,45.9761667,-111.4695,-1.13,1.55,ml,16,67,0.251,0.23,mb,mb80199829,2017-02-20T15:47:01.550Z,"11km NE of Three Forks, Montana",earthquake,0.48,4.21,0.172,3,reviewed,mb,mb
2017-02-20T05:18:10.980Z,-21.4938,-178.8169,533.33,4.5,mb,,72,4.755,1.32,us,us20008kv2,2017-02-20T05:39:13.040Z,"94km S of Ndoi Island, Fiji",earthquake,12.1,4.2,0.052,107,reviewed,us,us
2017-02-20T05:09:54.470Z,33.7023333,-116.725,16.57,0.77,ml,30,53,0.01603,0.17,ci,ci37586223,2017-02-20T05:13:26.562Z,"4km S of Idyllwild, CA",earthquake,0.33,0.53,0.134,27,automatic,ci,ci
2017-02-20T05:03:23.520Z,33.4961667,-116.492,12.79,1.56,ml,56,41,0.06169,0.21,ci,ci37586215,2017-02-20T05:13:57.440Z,"18km ESE of Anza, CA",earthquake,0.23,0.4,0.148,27,automatic,ci,ci
2017-02-20T04:59:54.690Z,19.3696671,-155.2173309,2.88,1.78,md,20,112,0.004448,0.15,hv,hv61613531,2017-02-20T05:02:54.120Z,"7km SSE of Volcano, Hawaii",earthquake,0.44,0.25,0.4,12,automatic,hv,hv
2017-02-20T04:59:36.600Z,17.8488,-67.1102,9,2.2,Md,3,331.2,0.13564561,0.01,pr,pr17051003,2017-02-20T07:31:40.914Z,"15km SSW of La Parguera, Puerto Rico",earthquake,1.1,2.4,0,3,reviewed,pr,pr
2017-02-20T04:57:10.042Z,62.7173,-149.52,4.8,1.3,ml,,,,0.38,ak,ak15312560,2017-02-20T05:06:46.311Z,"53km NE of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T04:55:50.940Z,33.507,-116.531,14.25,0.64,ml,22,84,0.05037,0.21,ci,ci37586207,2017-02-20T04:59:32.753Z,"14km ESE of Anza, CA",earthquake,0.36,0.6,0.146,17,automatic,ci,ci
2017-02-20T04:41:13.910Z,38.8139992,-122.8141632,2.76,1.12,md,13,91,0.0128,0.03,nc,nc72765731,2017-02-20T05:00:02.868Z,"6km NW of The Geysers, California",earthquake,0.34,0.59,0.03,4,automatic,nc,nc
2017-02-20T04:38:15.738Z,65.1292,-148.6845,10,0.8,ml,,,,0.4,ak,ak15312555,2017-02-20T04:52:44.037Z,"44km NW of Ester, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-20T04:32:27.140Z,38.800499,-122.8616638,6.05,1.1,md,15,193,0.02672,0.08,nc,nc72765726,2017-02-20T04:48:02.852Z,"9km WNW of The Geysers, California",earthquake,0.81,1.22,0.08,6,automatic,nc,nc
2017-02-20T04:01:47.050Z,34.1353333,-118.2183333,8.46,1.31,ml,8,104,0.07007,0.2,ci,ci37586191,2017-02-20T04:05:27.629Z,"2km NW of Highland Park, CA",earthquake,0.87,2.63,0.379,15,automatic,ci,ci
2017-02-20T04:01:38.529Z,38.3871,-118.9073,7.7,0.9,ml,8,172.75,0.344,0.1475,nn,nn00579255,2017-02-20T18:10:30.101Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.7,0,2,reviewed,nn,nn
2017-02-20T03:58:22.050Z,33.9771667,-116.9585,4.57,1.17,ml,47,41,0.05858,0.17,ci,ci37586183,2017-02-20T04:01:57.505Z,"6km NNE of Beaumont, CA",earthquake,0.18,0.51,0.222,27,automatic,ci,ci
